Id	Condition	Filename	Starvation	Strain	Replicate	KO_rel	KO_5849
37	5849_Starved_d0	5849_D00_R1.wig	0	x5849	1	x	KO5849
38	5849_Starved_d0	5849_D00_R2.wig	0	x5849	2	x	KO5849
39	5849_Starved_d0	5849_D00_R3.wig	0	x5849	3	x	KO5849
40	5849_Starved_d7	5849_D07_R1.wig	7	x5849	1	x	KO5849
41	5849_Starved_d7	5849_D07_R2.wig	7	x5849	2	x	KO5849
42	5849_Starved_d7	5849_D07_R3.wig	7	x5849	3	x	KO5849
43	5849_Starved_d14	5849_D14_R1.wig	14	x5849	1	x	KO5849
44	5849_Starved_d14	5849_D14_R2.wig	14	x5849	2	x	KO5849
45	5849_Starved_d14	5849_D14_R3.wig	14	x5849	3	x	KO5849
46	5849_Starved_d28	5849_D28_R1.wig	28	x5849	1	x	KO5849
47	5849_Starved_d28	5849_D28_R2.wig	28	x5849	2	x	KO5849
48	5849_Starved_d28	5849_D28_R3.wig	28	x5849	3	x	KO5849
7	Unstressed_5849	5849_unstressed_N1.wig	-1	x5849	1	x	KO5849
8	Unstressed_5849	5849_unstressed_N2.wig	-1	x5849	2	x	KO5849
9	Unstressed_5849	5849_unstressed_N3.wig	-1	x5849	3	x	KO5849
49	DKO_Starved_d0	DKO_D00_R1.wig	0	DKO	1	KOrel	KO5849
50	DKO_Starved_d0	DKO_D00_R2.wig	0	DKO	2	KOrel	KO5849
51	DKO_Starved_d0	DKO_D00_R3.wig	0	DKO	3	KOrel	KO5849
52	DKO_Starved_d7	DKO_D07_R1.wig	7	DKO	1	KOrel	KO5849
53	DKO_Starved_d7	DKO_D07_R2.wig	7	DKO	2	KOrel	KO5849
54	DKO_Starved_d7	DKO_D07_R3.wig	7	DKO	3	KOrel	KO5849
55	DKO_Starved_d14	DKO_D14_R1.wig	14	DKO	1	KOrel	KO5849
56	DKO_Starved_d14	DKO_D14_R2.wig	14	DKO	2	KOrel	KO5849
57	DKO_Starved_d14	DKO_D14_R3.wig	14	DKO	3	KOrel	KO5849
58	DKO_Starved_d28	DKO_D28_R1.wig	28	DKO	1	KOrel	KO5849
59	DKO_Starved_d28	DKO_D28_R2.wig	28	DKO	2	KOrel	KO5849
60	DKO_Starved_d28	DKO_D28_R3.wig	28	DKO	3	KOrel	KO5849
10	Unstressed_DKO	DKO_unstressed_N1.wig	-1	DKO	1	KOrel	KO5849
11	Unstressed_DKO	DKO_unstressed_N2.wig	-1	DKO	2	KOrel	KO5849
12	Unstressed_DKO	DKO_unstressed_N3.wig	-1	DKO	3	KOrel	KO5849
25	rel_Starved_d0	rel_D00_R1.wig	0	rel	1	KOrel	x
26	rel_Starved_d0	rel_D00_R2.wig	0	rel	2	KOrel	x
27	rel_Starved_d0	rel_D00_R3.wig	0	rel	3	KOrel	x
28	rel_Starved_d7	rel_D07_R1.wig	7	rel	1	KOrel	x
29	rel_Starved_d7	rel_D07_R2.wig	7	rel	2	KOrel	x
30	rel_Starved_d7	rel_D07_R3.wig	7	rel	3	KOrel	x
31	rel_Starved_d14	rel_D14_R1.wig	14	rel	1	KOrel	x
32	rel_Starved_d14	rel_D14_R2.wig	14	rel	2	KOrel	x
33	rel_Starved_d14	rel_D14_R3.wig	14	rel	3	KOrel	x
34	rel_Starved_d28	rel_D28_R1.wig	28	rel	1	KOrel	x
35	rel_Starved_d28	rel_D28_R2.wig	28	rel	2	KOrel	x
36	rel_Starved_d28	rel_D28_R3.wig	28	rel	3	KOrel	x
4	Unstressed_rel	rel_unstressed_N1.wig	-1	rel	1	KOrel	x
5	Unstressed_rel	rel_unstressed_N2.wig	-1	rel	2	KOrel	x
6	Unstressed_rel	rel_unstressed_N3.wig	-1	rel	3	KOrel	x
13	WT_Starved_d0	WT_D00_R1.wig	0	WT	1	x	x
14	WT_Starved_d0	WT_D00_R2.wig	0	WT	2	x	x
15	WT_Starved_d0	WT_D00_R3.wig	0	WT	3	x	x
16	WT_Starved_d7	WT_D07_R1.wig	7	WT	1	x	x
17	WT_Starved_d7	WT_D07_R2.wig	7	WT	2	x	x
18	WT_Starved_d7	WT_D07_R3.wig	7	WT	3	x	x
19	WT_Starved_d14	WT_D14_R1.wig	14	WT	1	x	x
20	WT_Starved_d14	WT_D14_R2.wig	14	WT	2	x	x
21	WT_Starved_d14	WT_D14_R3.wig	14	WT	3	x	x
22	WT_Starved_d28	WT_D28_R1.wig	28	WT	1	x	x
23	WT_Starved_d28	WT_D28_R2.wig	28	WT	2	x	x
24	WT_Starved_d28	WT_D28_R3.wig	28	WT	3	x	x
1	Unstressed_WT	WT_unstressed_N1.wig	-1	WT	1	x	x
2	Unstressed_WT	WT_unstressed_N2.wig	-1	WT	2	x	x
3	Unstressed_WT	WT_unstressed_N3.wig	-1	WT	3	x	x
